Data Escala de Tempo 1 CDH Simp 4;Data Escala de Tempo 1 CDH Simp 4;Subsistema;Selecione Tipo de CDH Simp 4
01/01/2019 00:00;01/01/2019 00:00;Sudeste/Centro-Oeste;31079
01/01/2019 01:00;01/01/2019 01:00;Sudeste/Centro-Oeste;31009
01/01/2019 02:00;01/01/2019 02:00;Sudeste/Centro-Oeste;30681
01/01/2019 03:00;01/01/2019 03:00;Sudeste/Centro-Oeste;29991
01/01/2019 04:00;01/01/2019 04:00;Sudeste/Centro-Oeste;29429
01/01/2019 05:00;01/01/2019 05:00;Sudeste/Centro-Oeste;28944
01/01/2019 06:00;01/01/2019 06:00;Sudeste/Centro-Oeste;27592
01/01/2019 07:00;01/01/2019 07:00;Sudeste/Centro-Oeste;26771
01/01/2019 08:00;01/01/2019 08:00;Sudeste/Centro-Oeste;27493
01/01/2019 09:00;01/01/2019 09:00;Sudeste/Centro-Oeste;28540
01/01/2019 10:00;01/01/2019 10:00;Sudeste/Centro-Oeste;29407
01/01/2019 11:00;01/01/2019 11:00;Sudeste/Centro-Oeste;30097
01/01/2019 12:00;01/01/2019 12:00;Sudeste/Centro-Oeste;30189
01/01/2019 13:00;01/01/2019 13:00;Sudeste/Centro-Oeste;29735
01/01/2019 14:00;01/01/2019 14:00;Sudeste/Centro-Oeste;29515
01/01/2019 15:00;01/01/2019 15:00;Sudeste/Centro-Oeste;29638
01/01/2019 16:00;01/01/2019 16:00;Sudeste/Centro-Oeste;30105
01/01/2019 17:00;01/01/2019 17:00;Sudeste/Centro-Oeste;30576
01/01/2019 18:00;01/01/2019 18:00;Sudeste/Centro-Oeste;31301
01/01/2019 19:00;01/01/2019 19:00;Sudeste/Centro-Oeste;32670
01/01/2019 20:00;01/01/2019 20:00;Sudeste/Centro-Oeste;36776
01/01/2019 21:00;01/01/2019 21:00;Sudeste/Centro-Oeste;37599
01/01/2019 22:00;01/01/2019 22:00;Sudeste/Centro-Oeste;37172
01/01/2019 23:00;01/01/2019 23:00;Sudeste/Centro-Oeste;35785
02/01/2019 00:00;02/01/2019 00:00;Sudeste/Centro-Oeste;33811
02/01/2019 01:00;02/01/2019 01:00;Sudeste/Centro-Oeste;32156
02/01/2019 02:00;02/01/2019 02:00;Sudeste/Centro-Oeste;31020
02/01/2019 03:00;02/01/2019 03:00;Sudeste/Centro-Oeste;30382
02/01/2019 04:00;02/01/2019 04:00;Sudeste/Centro-Oeste;30410
02/01/2019 05:00;02/01/2019 05:00;Sudeste/Centro-Oeste;31051
02/01/2019 06:00;02/01/2019 06:00;Sudeste/Centro-Oeste;31754
02/01/2019 07:00;02/01/2019 07:00;Sudeste/Centro-Oeste;33390
02/01/2019 08:00;02/01/2019 08:00;Sudeste/Centro-Oeste;36361
02/01/2019 09:00;02/01/2019 09:00;Sudeste/Centro-Oeste;38541
02/01/2019 10:00;02/01/2019 10:00;Sudeste/Centro-Oeste;40038
02/01/2019 11:00;02/01/2019 11:00;Sudeste/Centro-Oeste;40727
02/01/2019 12:00;02/01/2019 12:00;Sudeste/Centro-Oeste;41153
02/01/2019 13:00;02/01/2019 13:00;Sudeste/Centro-Oeste;42328
02/01/2019 14:00;02/01/2019 14:00;Sudeste/Centro-Oeste;42870
02/01/2019 15:00;02/01/2019 15:00;Sudeste/Centro-Oeste;42998
02/01/2019 16:00;02/01/2019 16:00;Sudeste/Centro-Oeste;42839
02/01/2019 17:00;02/01/2019 17:00;Sudeste/Centro-Oeste;41463
02/01/2019 18:00;02/01/2019 18:00;Sudeste/Centro-Oeste;39485
02/01/2019 19:00;02/01/2019 19:00;Sudeste/Centro-Oeste;39323
02/01/2019 20:00;02/01/2019 20:00;Sudeste/Centro-Oeste;42728
02/01/2019 21:00;02/01/2019 21:00;Sudeste/Centro-Oeste;43565
02/01/2019 22:00;02/01/2019 22:00;Sudeste/Centro-Oeste;43162
02/01/2019 23:00;02/01/2019 23:00;Sudeste/Centro-Oeste;41295
03/01/2019 00:00;03/01/2019 00:00;Sudeste/Centro-Oeste;38978
03/01/2019 01:00;03/01/2019 01:00;Sudeste/Centro-Oeste;36861
03/01/2019 02:00;03/01/2019 02:00;Sudeste/Centro-Oeste;35456
03/01/2019 03:00;03/01/2019 03:00;Sudeste/Centro-Oeste;34699
03/01/2019 04:00;03/01/2019 04:00;Sudeste/Centro-Oeste;34450
03/01/2019 05:00;03/01/2019 05:00;Sudeste/Centro-Oeste;34853
03/01/2019 06:00;03/01/2019 06:00;Sudeste/Centro-Oeste;35178
03/01/2019 07:00;03/01/2019 07:00;Sudeste/Centro-Oeste;36775
03/01/2019 08:00;03/01/2019 08:00;Sudeste/Centro-Oeste;39741
03/01/2019 09:00;03/01/2019 09:00;Sudeste/Centro-Oeste;41709
03/01/2019 10:00;03/01/2019 10:00;Sudeste/Centro-Oeste;43315
03/01/2019 11:00;03/01/2019 11:00;Sudeste/Centro-Oeste;43830
03/01/2019 12:00;03/01/2019 12:00;Sudeste/Centro-Oeste;44014
03/01/2019 13:00;03/01/2019 13:00;Sudeste/Centro-Oeste;45366
03/01/2019 14:00;03/01/2019 14:00;Sudeste/Centro-Oeste;46105
03/01/2019 15:00;03/01/2019 15:00;Sudeste/Centro-Oeste;46204
03/01/2019 16:00;03/01/2019 16:00;Sudeste/Centro-Oeste;45821
03/01/2019 17:00;03/01/2019 17:00;Sudeste/Centro-Oeste;43777
03/01/2019 18:00;03/01/2019 18:00;Sudeste/Centro-Oeste;41522
